Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU
"Image Processing, Enhancement ",edsr3-nas,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3-nas,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP32,OpenVINO,+,+,+
Object Detection,efficientdet-d0,tf,FP16,OpenVINO,+,+,+
Object Detection,efficientdet-d0,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,efficientdet-d1,tf,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-b0,onnx,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-b0,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,efficientnet-b0,onnx,FP32,OpenVINO,+,+,+
Image Classification,efficientnet-b0,tf,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-b0,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,efficientnet-b0,tf,FP32,OpenVINO,+,+,+
Object Detection,efficientnet-b0_auto_aug,tf,FP16,OpenVINO,+,+,
Object Detection,efficientnet-b0_auto_aug,tf,FP16-INT8,OpenVINO,+,+,
Object Detection,efficientnet-b0_auto_aug,tf,FP32,OpenVINO,+,+,
Image Classification,efficientnet-b3,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP16,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,onnx,FP32,OpenVINO,+,+,+
Image Classification,efficientnet-v2-m,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,ens3-adv-inception-v3,tf,FP16,OpenVINO,+,+,
Image Classification,ens3-adv-inception-v3,tf,FP16-INT8,OpenVINO,+,+,
Image Classification,ens3-adv-inception-v3,tf,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",esrgan,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",esrgan,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",esrgan,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-detection-0200,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-0200,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-detection-0202,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-0202,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-detection-0204,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-0204,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-detection-0205,onnx,FP16,OpenVINO,+,+,
Object Detection,face-detection-0205,onnx,FP32,OpenVINO,+,+,
Object Detection,face-detection-0206,onnx,FP16,OpenVINO,+,+,
Object Detection,face-detection-0206,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,face-detection-0206,onnx,FP32,OpenVINO,+,+,
Object Detection,face-detection-retail-0005,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-detection-retail-0005,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,face-detection-retail-0005,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-recognition-resnet100-arcface,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-recognition-resnet100-arcface,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,face-recognition-resnet100-arcface,onnx,FP32,OpenVINO,+,+,+
Object Detection,face-reidentification-retail-0095,onnx,FP16,OpenVINO,+,+,+
Object Detection,face-reidentification-retail-0095,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,face-reidentification-retail-0095,onnx,FP32,OpenVINO,+,+,+
Object Detection,faceboxes,onnx,FP16,OpenVINO,+,+,+
Object Detection,faceboxes,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,faceboxes,onnx,FP32,OpenVINO,+,+,+
Object Detection,facenet,onnx,FP16,OpenVINO,+,+,+
Object Detection,facenet,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,facenet,onnx,FP32,OpenVINO,+,+,+
Object Detection,facenet-20180408-102900,tf,FP16,OpenVINO,+,+,+
Object Detection,facenet-20180408-102900,tf,FP32,OpenVINO,+,+,+
Object Detection,faster_rcnn_inception_resnet_v2_atrous_coco,tf,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_inception_v2_coco,tf,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet101_coco,tf,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet101_kitti,tf,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_coco,tf,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_coco,tf,FP16-INT8,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_coco,tf2,FP16,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_coco,tf2,FP16-INT8,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP16,OpenVINO,+,,
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,faster_rcnn_resnet50_fpn_coco,onnx,FP32,OpenVINO,+,,
Object Detection,faster_rcnn_resnet50_lowproposals_coco,tf,FP16,OpenVINO,+,,
Semantic Segmentation,fastseg-large,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,fastseg-large,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,fastseg-small,onnx,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",fbcnn,onnx,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",fbcnn,onnx,FP16-INT8,OpenVINO,+,+,
"Image Processing, Enhancement ",fbcnn,onnx,FP32,OpenVINO,+,+,
Image Classification,fbnetc-100,onnx,FP16,OpenVINO,+,+,+
Image Classification,fbnetc-100,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,fbnetc-100,onnx,FP32,OpenVINO,+,+,+
Image Classification,fbnetc-100,pytorch,FP32,OpenVINO,+,+,+
Image Classification,fbnetc-100,pytorch,FP32-INT8,OpenVINO,+,+,+
Monodepth,fcrn-dp-nyu-depth-v2-tf,tf,FP16,OpenVINO,+,+,+
Monodepth,fcrn-dp-nyu-depth-v2-tf,tf,FP32,OpenVINO,+,+,+
Text to Speech,forward-tacotron-duration-prediction,onnx,FP16,OpenVINO,+,,+
Text to Speech,forward-tacotron-duration-prediction,onnx,FP16-INT8,OpenVINO,+,,
Text to Speech,forward-tacotron-duration-prediction,onnx,FP32,OpenVINO,+,,+
Text to Speech,forward-tacotron-regression,onnx,FP16,OpenVINO,+,,+
Text to Speech,forward-tacotron-regression,onnx,FP16-INT8,OpenVINO,+,,
Text to Speech,forward-tacotron-regression,onnx,FP32,OpenVINO,+,,+
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",fsrcnn-x4,tf,FP32,OpenVINO,+,+,+
Object Detection,gaze-estimation-adas-0002,onnx,FP16,OpenVINO,+,+,+
Object Detection,gaze-estimation-adas-0002,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,gaze-estimation-adas-0002,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",gmcnn-places2,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",gmcnn-places2,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v1,tf,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v1,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v1,tf,FP32,OpenVINO,+,+,+
Image Classification,googlenet-v2,tf,FP16,OpenVINO,+,+,
Image Classification,googlenet-v2,tf,FP32,OpenVINO,+,+,
Image Classification,googlenet-v3,onnx,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v3,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v3,onnx,FP32,OpenVINO,+,+,+
Image Classification,googlenet-v3,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v3,tf,FP16,OpenVINO,+,+,
Image Classification,googlenet-v3,tf,FP32,OpenVINO,+,+,
Image Classification,googlenet-v3,tf2,FP16,OpenVINO,+,+,
Image Classification,googlenet-v3,tf2,FP32,OpenVINO,+,+,
Image Classification,googlenet-v4,tf,FP16,OpenVINO,+,+,+
Image Classification,googlenet-v4,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,googlenet-v4,tf,FP32,OpenVINO,+,+,+
Large Language Model,gpt2-wikitext2-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Text Detection,handwritten-english-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Text Detection,handwritten-english-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Text Detection,handwritten-japanese-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Text Detection,handwritten-japanese-recognition-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Text Detection,handwritten-japanese-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Text Detection,handwritten-score-recognition-0003,tf,FP16,OpenVINO,+,+,+
Text Detection,handwritten-score-recognition-0003,tf,FP16-INT8,OpenVINO,+,+,+
Text Detection,handwritten-score-recognition-0003,tf,FP32,OpenVINO,+,+,+
Text Detection,handwritten-simplified-chinese-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Text Detection,handwritten-simplified-chinese-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Image Classification,hbonet-0.25,onnx,FP16,OpenVINO,+,+,+
Image Classification,hbonet-0.25,onnx,FP32,OpenVINO,+,+,+
Image Classification,hbonet-0.5,onnx,FP16,OpenVINO,+,+,+
Image Classification,hbonet-0.5,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,hbonet-0.5,onnx,FP32,OpenVINO,+,+,+
Image Classification,hbonet-1.0,onnx,FP16,OpenVINO,+,+,+
Image Classification,hbonet-1.0,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,hbonet-1.0,onnx,FP32,OpenVINO,+,+,+
Object Detection,hg-s8-b1-mpii,onnx,FP16,OpenVINO,+,+,+
Object Detection,hg-s8-b1-mpii,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,hg-s8-b1-mpii,onnx,FP32,OpenVINO,+,+,+
Object Detection,higher-hrnet-w32-512,onnx,FP16,OpenVINO,+,+,
Object Detection,higher-hrnet-w32-512,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,higher-hrnet-w32-512,onnx,FP32,OpenVINO,+,+,
Text Detection,horizontal-text-detection-0001,onnx,FP16,OpenVINO,+,+,+
Text Detection,horizontal-text-detection-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Text Detection,horizontal-text-detection-0001,onnx,FP32,OpenVINO,+,+,+
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP16,OpenVINO,+,+,+
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,hrnet-v2-c1-segmentation,onnx,FP32,OpenVINO,+,+,+
Object Detection,human-pose-estimation-0002,onnx,FP16,OpenVINO,+,+,
