Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Large Language Model,baichuan2-7b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,baichuan2-7b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,baichuan2-7b-chat,pytorch,FP16,OpenVINO,+,+,
Large Language Model,Baichuan2-7B-Chat,pytorch,INT4,Optimum Intel,+,+,
Natural Language Processing,bart-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bart-base-japanese,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,barthez-orangesum-abstract,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",began,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",began,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",began,onnx,FP32,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",began,onnx,FP16,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",began,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,beit_large_patch16_224.in22k_ft_in22k_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,beit-base-patch16-224-pt22k-ft22k,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,beitv2_large_patch16_224.in1k_ft_in22k_in1k,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-arabertv02,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-base-cased,onnx,INT8,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-base-cased,paddle,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,paddle,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,paddle,INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-cased-conversational,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-base-cased-squad2,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased-squad2,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,bert-base-cased-squad2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,bert-base-ner,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-base-ner,onnx,INT8,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-base-ner,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-base-ner,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-base-ner,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-base-uncased,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-base-uncased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-uncased-sparse-70-unstructured,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-uncased-yelp-polarity,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-large-cased,onnx,FP16,OpenVINO,+,,
Natural Language Processing,bert-large-cased,onnx,FP16-INT8,OpenVINO,+,,
Natural Language Processing,bert-large-cased,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,bert-large-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,BERT-Large-CT-STSb,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-large-uncased,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-large-uncased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-finetuned-squad,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-large-uncased-whole-word-masking-finetuned-sst-2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,INT8,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-emb-0001,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-emb-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-int8-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-int8-0001,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-int8-0001,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-int8-0001,onnx,INT8,ONNX Runtime OVEP,+,+,+
Large Language Model,bert-small-finetuned-squadv2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0002,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0002,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-emb-int8-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-int8-0002,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bge-base-en-v1.5,pytorch,intel-optimum default,Optimum Intel,,+,
Natural Language Processing,bge-large-en-v1.5,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bge-reranker-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bge-reranker-large,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,bigbird-pegasus-large-arxiv,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bigbird-roberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,Bio_ClinicalBERT,pytorch,FP32,torch.compile,+,+,+
Large Language Model,BioMedLM,pytorch,INT4,Optimum Intel,+,+,
Natural Language Processing,blenderbot-400M-distill,pytorch,intel-optimum default,Optimum Intel,+,+,
Image to Text,blip-text-decoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image to Text,blip-text-decoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image to Text,blip-text-decoder-with-past,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image to Text,blip-text-decoder-with-past,onnx,FP16,ONNX Runtime OVEP,+,+,+
Text Classification,blip-text-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Text Classification,blip-text-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image to Text,blip-vision-model,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image to Text,blip-vision-model,onnx,FP16,ONNX Runtime OVEP,+,+,+
Large Language Model,bloom,pytorch,FP32,torch.compile,+,+,+
Large Language Model,bloom-560m,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,bloomz-1b1,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,bloomz-1b4-zh,pytorch,FP16,OpenVINO,+,+,
Large Language Model,bloomz-1b4-zh,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,bloomz-1b4-zh,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,bloomz-3b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,bloomz-560m,pytorch,FP16,OpenVINO,+,+,
Large Language Model,bloomz-560m,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,bloomz-560m,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,bloomz-7b1,pytorch,FP16,OpenVINO,+,+,
Large Language Model,bloomz-7b1,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,bloomz-7b1,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,bloomz-7b1-mt,pytorch,INT4,Optimum Intel,+,+,
Image Classification,botnet26t_256,pytorch,FP32,torch.compile,+,+,
Image Classification,brain-tumor-segmentation-0002,onnx,FP16,OpenVINO,+,,
Image Classification,brain-tumor-segmentation-0002,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,brain-tumor-segmentation-0002,onnx,FP32,ONNX Runtime OVEP,+,+,
Image Classification,brain-tumor-segmentation-0002,onnx,FP16,ONNX Runtime OVEP,+,+,
Image Classification,brain-tumor-segmentation-0002,onnx,INT8,ONNX Runtime OVEP,+,+,
Image Classification,cait_s24_224,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,camembert-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,canine-s,pytorch,FP32,torch.compile,+,+,+
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP16,OpenVINO,+,,
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP16-INT8,OpenVINO,+,,
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP32,OpenVINO,+,,
Object Detection,centernet-hg104,tf,FP16,OpenVINO,,+,
Object Detection,centernet-hg104,tf,FP32,OpenVINO,,+,
Object Detection,centernet-hg104,tf2,FP32,OpenVINO,+,+,
Object Detection,centernet-hg104,tf2,FP16,OpenVINO,+,+,
Object Detection,centernet-resnet,tf,FP32,OpenVINO,+,+,
Large Language Model,chatglm3-6b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,chatglm3-6b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,chatglm3-6b,pytorch,FP16,OpenVINO,+,,
Large Language Model,chatglm3-6b-gptq,pytorch,INT4-MIXED,OpenVINO,+,+,
Natural Language Processing,chinese_pretrain_mrc_macbert_large,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,chinese-xlnet-base,pytorch,FP32,torch.compile,+,+,
Image Classification,clip-vit-b-16-plus-240-laion400m-e32,onnx,FP16,OpenVINO,+,,
Image Classification,clip-vit-b-16-plus-240-laion400m-e32,onnx,FP32,OpenVINO,+,,
Image Classification,clip-vit-b-16-plus-240-laion400m-e32-image-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,clip-vit-b-16-plus-240-laion400m-e32-image-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Text Classification,clip-vit-b-16-plus-240-laion400m-e32-text-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Text Classification,clip-vit-b-16-plus-240-laion400m-e32-text-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,clip-vit-base-patch16,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,clip-vit-base-patch16,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,coat_mini,pytorch,FP32,torch.compile,+,+,+
Image Classification,coatnet_1_rw_224.sw_in1k,pytorch,FP32,torch.compile,+,+,
Image Classification,coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,pytorch,FP32,torch.compile,+,+,
Image Classification,coatnext_nano_rw_224.sw_in1k,pytorch,FP32,torch.compile,+,+,+
Large Language Model,codegemma-1.1-2b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codegemma-1.1-7b-it,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codegemma-2b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codegemma-7b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codegen2-1b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,codegen2-1b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,codegen2-1b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,codegen2-1B_P,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codegen2-3_7b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,codegen2-3_7b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,codegen2-3_7b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,codegen25-7b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,codegen25-7b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,codegen25-7b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,codegen2-7b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,codegen2-7b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,codegen2-7b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,codegen-2B-multi,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codegen-350M-mono,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codellama-7b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,codellama-7b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,codellama-7b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,CodeQwen1.5-7B-Chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,codet5-base-sum,pytorch,FP16,OpenVINO,+,+,
Large Language Model,codet5-base-sum,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,codet5-base-sum,pytorch,INT8-CW,OpenVINO,+,+,
Colorization,colorization-siggraph,onnx,FP16,OpenVINO,+,+,+
Colorization,colorization-siggraph,onnx,FP32,OpenVINO,+,+,+
Colorization,colorization-siggraph,onnx,FP32,ONNX Runtime OVEP,+,+,+
Colorization,colorization-siggraph,onnx,FP16,ONNX Runtime OVEP,+,+,+
Colorization,colorization-siggraph,onnx,INT8,ONNX Runtime OVEP,+,+,+
Colorization,colorization-v2,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,common-sign-language-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,common-sign-language-0001,onnx,FP32,OpenVINO,+,+,+
Image Classification,common-sign-language-0001,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,common-sign-language-0001,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,common-sign-language-0002,onnx,FP16,OpenVINO,+,+,+
Image Classification,common-sign-language-0002,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,common-sign-language-0002,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,convbert-base-turkish-mc4-toxicity-uncased,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,convit_small,pytorch,FP32,torch.compile,+,+,+
Image Classification,convmixer_1024_20_ks9_p14,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_base,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_large,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_large.fb_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_small,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_tiny,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext-base-224,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,convnext-tiny,onnx,FP16,OpenVINO,+,,
Image Classification,convnext-tiny,onnx,FP32,OpenVINO,+,,
Image Classification,convnextv2_large.fcmae_ft_in22k_in1k,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP16,OpenVINO,+,,
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP16-INT8,OpenVINO,+,,
Text Recognition,crnn-tf,tf,FP16,OpenVINO,+,+,
Text Recognition,crnn-tf,tf,FP16-INT8,OpenVINO,+,+,
Text Recognition,crnn-tf,tf,FP32,OpenVINO,+,,
Image Classification,crossvit_15_dagger_240,pytorch,FP32,torch.compile,+,+,+
Image Classification,crossvit_small_240,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3darknet_focus_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3darknet_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3edgenet_x,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3se_edgenet_x,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3sedarknet_l,pytorch,FP32,torch.compile,+,+,+
Image Classification,cspdarknet53,pytorch,FP32,torch.compile,+,+,+
Image Classification,cspresnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,cspresnext50,pytorch,FP32,torch.compile,+,+,+
Object Detection,ctdet_coco_dlav0_512,onnx,FP16,OpenVINO,+,+,+
Object Detection,ctdet_coco_dlav0_512,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ctdet_coco_dlav0_512,onnx,FP32,OpenVINO,+,+,+
Text Detection,ctpn,tf,FP16,OpenVINO,+,+,
Text Detection,ctpn,tf,FP16-INT8,OpenVINO,,+,
Text Detection,ctpn,tf,FP32,OpenVINO,+,+,
Image Classification,darknet19,tf,FP16,OpenVINO,+,+,+
Image Classification,darknet19,tf,FP16-INT8,OpenVINO,,+,+
Image Classification,darknet19,tf,FP32,OpenVINO,+,+,
Image Classification,darknet53,pytorch,FP32,torch.compile,+,+,+
Audio,data2vec2-base,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,data2vec2-base,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,davit_small.msft_in1k,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-large,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-v2-xlarge,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-v3-large,pytorch,intel-optimum default,Optimum Intel,+,+,
"Image Processing, Enhancement ",deblurgan-v2,onnx,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",deblurgan-v2,onnx,FP32,OpenVINO,+,+,
Large Language Model,decilm-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,decilm-7b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,decilm-7b-instruct,pytorch,FP16,OpenVINO,+,+,
Semantic Segmentation,deeplabv3,tf,FP16,OpenVINO,+,+,+
Semantic Segmentation,deeplabv3,tf,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,deeplabv3,tf,FP32,OpenVINO,+,+,+
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP16,OpenVINO,+,+,+
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP16-INT8,OpenVINO,+,+,+
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP32,OpenVINO,+,+,+
Semantic Segmentation,deeplab-v3p-resnet50-os8,paddle,FP32,OpenVINO,+,+,
Semantic Segmentation,deeplab-v3p-resnet50-os8,paddle,FP16,OpenVINO,+,+,
Semantic Segmentation,deeplab-v3p-resnet50-os8,paddle,INT8,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,FP16,OpenVINO,+,+,
DNA Classification,deepvariant_wgs,tf,FP16,OpenVINO,+,+,
DNA Classification,deepvariant_wgs,tf,FP16-INT8,OpenVINO,+,+,
DNA Classification,deepvariant_wgs,tf,FP32,OpenVINO,+,+,
Image Classification,deit_small_patch16_224,pytorch,FP32,torch.compile,+,+,+
Image Classification,deit3_small_patch16_224_in21ft1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,deit-b,onnx,FP16,OpenVINO,+,,+
Image Classification,deit-b,onnx,FP32,OpenVINO,+,+,+
Image Classification,deit-b,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,deit-b,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,deit-b,onnx,INT8,ONNX Runtime OVEP,+,+,+
Audio Enhancement,Denoise,tf,FP16,OpenVINO,+,+,+
Audio Enhancement,Denoise,tf,FP32,OpenVINO,+,+,
Image Classification,densenet121,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet-121,onnx,FP16,OpenVINO,+,+,+
Image Classification,densenet-121,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,densenet-121,onnx,FP32,OpenVINO,+,+,
Image Classification,densenet-121,tf,FP16,OpenVINO,+,+,+
Image Classification,densenet-121,tf,FP32,OpenVINO,+,+,
Image Classification,densenet-121,tf2,FP16,OpenVINO,+,+,+
Image Classification,densenet-121,tf2,FP32,OpenVINO,+,+,+
Image Classification,densenet-121,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,densenet-121,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,densenet-121,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,densenet-121,pytorch,FP32,OpenVINO,+,+,+
Image Classification,densenet-121,pytorch,FP16,OpenVINO,+,+,+
Image Classification,densenet161,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet-161,onnx,FP16,OpenVINO,+,,+
Image Classification,densenet-161,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,densenet169,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet201,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenetblur121d,pytorch,FP32,torch.compile,+,+,+
Object Detection,detr_resnet50,onnx,FP16,OpenVINO,+,,
Object Detection,detr_resnet50,onnx,FP32,OpenVINO,+,,
Object Detection,detr_resnet50,onnx,FP16,OpenVINO,,+,
Object Detection,detr_resnet50,onnx,FP32,OpenVINO,,+,
Object Detection,detr_resnet50,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,detr_resnet50,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,detr_resnet50,onnx,INT8,ONNX Runtime OVEP,+,+,+
Click-Through Rate (CTR) Predictio,dien,tf,FP32,OpenVINO,+,+,
Click-Through Rate (CTR) Predictio,dien,tf,FP16,OpenVINO,+,+,
Behavior / Decision Prediction,dien_alibaba,tf,FP16,OpenVINO,+,,
Behavior / Decision Prediction,dien_alibaba,tf,FP32,OpenVINO,+,,
Natural Language Processing,distilbert-base-cased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-cased,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,distilbert-base-nli-mean-tokens,pytorch,intel-optimum default,Optimum Intel,+,+,
