aten::quantize_per_tensor,
aten::rand,
aten::rand_like,
aten::randint,
aten::randn,
aten::randn_like,
aten::real                                  , Supported in limited set of patterns
aten::reciprocal,
aten::reciprocal_,
aten::reflection_pad2d                      , Supported in limited set of patterns
aten::relu,
aten::relu6,
aten::relu6_,
aten::relu_,
aten::remainder,
aten::repeat,
aten::repeat_interleave,
aten::reshape,
aten::reshape_as,
aten::resolve_conj,
aten::resolve_neg,
aten::rnn_relu,
aten::rnn_tanh,
aten::roll,
aten::round,
aten::rsqrt,
aten::rsqrt_,
aten::rsub,
aten::ScalarImplicit,
aten::scaled_dot_product_attention,
aten::scatter,
aten::scatter_,
aten::scatter_add,
aten::scatter_add_,
aten::scatter_reduce,
aten::scatter_reduce_,
aten::select,
aten::selu,
aten::selu_,
aten::sigmoid,
aten::sigmoid_,
aten::sign,
aten::silu,
aten::silu_,
aten::sin,
aten::sin_,
aten::sinh,
aten::sinh_,
aten::size,
aten::slice,
aten::softmax,
aten::softplus,
aten::sort,
aten::split                                 , Supported in limited set of patterns
aten::split_with_sizes                      , Supported in limited set of patterns
aten::sqrt,
aten::sqrt_,
aten::square,
aten::squeeze,
aten::stack                                 , Supported in limited set of patterns
aten::std,
aten::std_mean,
aten::sub,
aten::sub_,
aten::sum,
aten::swapaxes,
aten::t,
aten::t_,
aten::take_along_dim,
aten::tan,
aten::tan_,
aten::tanh,
aten::tanh_,
aten::tensor,
aten::tensor_split                          , Supported in limited set of patterns
aten::tile,
aten::to,
aten::topk,
aten::transpose,
aten::tril,
aten::tril_,
aten::triu,
aten::triu_,
aten::type_as,
aten::unbind                                , Supported in limited set of patterns
aten::unflatten,
aten::unfold,
aten::unsqueeze,
aten::unsqueeze_,
aten::upsample_bicubic2d,
aten::upsample_bilinear2d,
aten::upsample_linear1d,
aten::upsample_nearest1d,
aten::upsample_nearest2d,
aten::upsample_nearest3d,
aten::upsample_trilinear3d,
aten::var,
aten::var_mean,
aten::view,
aten::view_as,
aten::where,
aten::zero_,
aten::zeros,
aten::zeros_like,
ov_ext::conv1d,
ov_ext::embedding,
ov_ext::linear,
prim::Constant,
prim::device,
prim::DictConstruct                         , Supported in limited set of patterns
prim::GetAttr,
prim::If,
prim::is_cuda,
prim::ListConstruct,
prim::ListUnpack,
prim::Loop,
prim::max                                   , Supported in limited set of patterns
prim::min                                   , Supported in limited set of patterns
prim::NumToTensor,
prim::PythonOp,
prim::requires_grad,
prim::TupleConstruct                        , Supported in limited set of patterns
prim::TupleIndex,
prim::TupleUnpack                           , Supported in limited set of patterns
prim::type,
quantized::add,
quantized::add_relu,
quantized::cat,
quantized::conv2d,
quantized::conv2d_relu,
quantized::hardswish,
quantized::linear,
quantized::mul,
torchvision::deform_conv2d,
torchvision::nms,
torchvision::roi_align,
